Date,Close,High,Low,Open,Volume
2000-01-03,5.209997177124023,5.2402882281456655,5.131241775601209,5.149415814599325,3431200
2000-01-04,5.143357753753662,5.258461966203924,5.131241481942133,5.173648063523215,5997600
2000-01-05,5.131241798400879,5.252404523988638,5.100950747244645,5.149415837479748,10562400
2000-01-06,5.319041728973389,5.379623069850078,5.12518143816798,5.137297706343318,15300000
2000-01-07,5.943029880523682,5.961203912938115,5.512901992656183,5.573483333234822,16160800
2000-01-10,5.840043067932129,5.997554602959344,5.797636485953308,5.991496836756034,9336000
2000-01-11,5.852159023284912,5.943031427567225,5.688589730902663,5.718880039317761,9988000
2000-01-12,5.797635555267334,5.91273975031967,5.76734451055771,5.8036933204982,6378400
2000-01-13,5.9793782234191895,6.003610757780527,5.797634215709158,5.827924513901699,6981600
2000-01-14,5.973321437835693,6.088426378912251,5.9612051671707125,6.009670249830637,9292800
2000-01-18,5.718879699707031,5.91274002851066,5.646182076405671,5.840042405209299,5514400
2000-01-19,5.767345905303955,5.858218321890528,5.670415722021535,5.670415722021535,7730400
2000-01-20,5.9127397537231445,5.9127397537231445,5.670414353980393,5.767344513877493,8457600
2000-01-21,5.658298969268799,5.912740678807652,5.597717609854786,5.912740678807652,12880800
2000-01-24,5.349334239959717,5.628008484613421,5.288752882426302,5.561368621567404,9503200
2000-01-25,5.349334239959717,5.446264412013179,5.288752882426302,5.379624548967161,8416000
2000-01-26,5.337216377258301,5.458379056202663,5.282692801974186,5.282692801974186,8797600
2000-01-27,5.25240421295166,5.361450659523129,5.222113163589202,5.33721811584058,9053600
2000-01-28,5.100949764251709,5.294810087833722,5.064600953580081,5.064600953580081,12754400
2000-01-31,5.137300968170166,5.355393933800031,5.094894372390421,5.100952140565188,4790400
2000-02-01,5.276635646820068,5.3735658011633225,5.149414449485353,5.185763257364074,3984000
2000-02-02,5.415972709655762,5.476554059875625,5.319042549303981,5.319042549303981,6660000
2000-02-03,5.367506980895996,5.4280883237954995,5.337216679205418,5.367506980895996,13720800
2000-02-04,5.500787258148193,5.506845763654314,5.391740814704727,5.391740814704727,7199200
2000-02-07,5.640127658843994,5.670417983440527,5.409918381738502,5.428092428592641,11616800
2000-02-08,5.428090572357178,5.537137034748282,5.403858025159154,5.428090572357178,8325600
2000-02-09,5.228170871734619,5.49472881158041,5.209996096985917,5.4765540368317085,7526400
2000-02-10,5.609833240509033,5.858217155474388,5.531077852032176,5.609833240509033,20888000
2000-02-11,5.428090572357178,5.730997412332467,5.415974298758166,5.537137034748282,18896000
2000-02-14,5.512903213500977,5.573484567495493,5.464438130305364,5.48867067190317,7276000
2000-02-15,5.755230903625488,5.955149820563444,5.646184423346268,5.658300698932848,16885600
2000-02-16,5.943029880523682,6.0581340578639375,5.749169590672035,5.785518395019219,16412800
2000-02-17,6.094486236572266,6.270172961041883,5.997556037978671,6.00967231280287,12419200
2000-02-18,5.609833240509033,6.058135248929841,5.549251888019734,6.021786437436262,15170400
2000-02-22,5.700704574584961,5.779459948356867,5.591658160465021,5.62194846129473,5828800
2000-02-23,5.549254417419434,5.670417177625098,5.512905589357734,5.646184625583965,9806400
2000-02-24,5.100949764251709,5.50078668163961,5.034310647779615,5.488670411415734,13012000
2000-02-25,4.9676713943481445,5.125182926364062,4.901032269792986,5.100950382976997,9658400
2000-02-28,4.985846042633057,5.082776213673131,4.894973637523729,4.943438723043766,8533600
2000-02-29,4.955554008483887,5.03431012654416,4.943437739514488,4.96161251272777,7711200
2000-03-01,5.294809818267822,5.3675074359099435,4.828333808156749,4.955554269271257,12564800
2000-03-02,5.088836193084717,5.331161726088752,5.04037108648391,5.306929172788347,7538400
2000-03-03,5.276635646820068,5.361449531870416,5.046426530254841,5.082775338133561,3794400
2000-03-06,5.088836193084717,5.264522574272061,5.0646036397843135,5.264522574272061,4090400
2000-03-07,4.74957799911499,5.004019677639008,4.737461728709085,4.991903407233102,8610400
2000-03-08,4.616299152374268,4.791985447880034,4.49513644496287,4.7374618597856655,10363200
2000-03-09,4.755638599395752,4.810161470485694,4.567835955599765,4.61630105857695,6700000
2000-03-10,4.931323051452637,4.943439324306329,4.707172373418639,4.749578958647257,6710400
2000-03-13,4.852564334869385,4.894970891147502,4.749575716162924,4.749575716162924,6282400
2000-03-14,4.852564334869385,4.888913128615529,4.7556342182129985,4.8343895682372615,3949600
2000-03-15,4.985846042633057,5.016136351323821,4.798043466483655,4.816218243312927,12876000
2000-03-16,5.052483558654785,5.1554722023913016,4.822274475646534,4.907088348333784,11164000
2000-03-17,5.004020690917969,5.234229875245914,4.961614105669493,5.1372996923709895,9671200
2000-03-20,5.137300968170166,5.173649795775144,5.01008044131214,5.028254485355234,5468800
2000-03-21,5.234229564666748,5.270578381088044,5.1372993875432895,5.1372993875432895,4168800
2000-03-22,5.131241798400879,5.325102159341293,5.0403693844507655,5.209997200273628,5897600
2000-03-23,5.294809818267822,5.294809818267822,5.0646006957344385,5.0888332349484795,6003200
2000-03-24,5.567427635192871,5.579543907805348,5.276637092493402,5.2887533651058805,8687200
2000-03-27,5.403858184814453,5.5129046504273,5.367509362943504,5.506846883208146,4664800
2000-03-28,5.367506980895996,5.4462630964245236,5.325100410625517,5.331158175156294,3800800
2000-03-29,5.397798538208008,5.42203107768477,5.2826936059341785,5.373565998731245,3594400
2000-03-30,5.552244663238525,5.612858687946369,5.388587166485993,5.39464819899813,5237600
2000-03-31,5.782576560974121,5.788638331939989,5.473445479559849,5.552243322696326,7032800
2000-04-03,6.018970489501953,6.061399918976297,5.752268893066996,5.758329923027482,7430400
2000-04-04,5.891683578491211,6.012911635661812,5.600736241281768,6.012911635661812,8253600
2000-04-05,5.818945407867432,5.909866799823946,5.728024755828089,5.812884376359489,5006400
2000-04-06,5.982602119445801,6.012908749231418,5.782575551176182,5.812882920878785,5516000
2000-04-07,5.988663673400879,5.994725443838554,5.843190061901262,5.970479841921952,5463200
2000-04-10,6.194750785827637,6.231119185744433,6.0674617560773445,6.073522786104982,7511200
2000-04-11,6.346288681030273,6.346288681030273,6.018972600641755,6.109893261358105,10399200
2000-04-12,6.582680702209473,6.6796631066619145,6.279610688295593,6.303856289408704,10133600
2000-04-13,6.437207221984863,6.649356975809127,6.140198972473272,6.6129885734250315,13784000
2000-04-14,6.200814723968506,6.376595015071745,6.000788084525691,6.376595015071745,5155200
2000-04-17,6.182629585266113,6.261428545387667,5.988664735532274,6.146261175941018,5120800
2000-04-18,6.29173469543457,6.32204244255518,6.055340409206306,6.109892652213918,4708000
2000-04-19,6.273551940917969,6.37659503715242,6.1462617563427315,6.158384560595874,5062400
2000-04-20,6.509945869445801,6.625113249511533,6.152323514732822,6.152323514732822,9542400
2000-04-24,6.734216690063477,6.76452295262233,6.540251874217675,6.5463125347958036,5580000
2000-04-25,6.619050979614258,6.728156215541965,6.5463141556624524,6.728156215541965,12896000
2000-04-26,6.528128623962402,6.7099706263035,6.497820883655218,6.643294485528096,8431200
2000-04-27,6.503881931304932,6.643293369768227,6.485696994208031,6.570556581048137,7212800
2000-04-28,6.467514514923096,6.594803174514192,6.419023315110491,6.594803174514192,5775200
2000-05-01,6.2614288330078125,6.449331549901641,6.255366691257982,6.406902476990556,6320800
2000-05-02,6.109894752502441,6.315982472328912,6.079588104839612,6.303859665280296,12139200
2000-05-03,5.940174102783203,6.07352494998854,5.843191668452048,6.061402145697146,15127200
2000-05-04,6.05534029006958,6.2493055023139945,6.012910110860976,6.2493055023139945,17708000
2000-05-05,6.115954399108887,6.194752247563539,6.091708793443276,6.152322807607303,11467200
2000-05-08,6.4008378982543945,6.425083496353843,6.07352232391184,6.115952490544342,8276000
2000-05-09,6.582680702209473,6.619049103879139,6.303856289408704,6.328101890521814,8402400
2000-05-10,6.631173133850098,6.7887695703035735,6.570559119829531,6.619050331045984,10783200
2000-05-11,6.709975242614746,6.849386800404585,6.667544672960216,6.697852434118455,12660000
2000-05-12,6.922121047973633,6.952428797733132,6.709972718995001,6.794832346553347,12364000
2000-05-15,7.237311840057373,7.273680241263691,6.982733031613144,6.982733031613144,13902400
2000-05-16,7.334293842315674,7.516135838406145,7.23125078444805,7.516135838406145,12806400
2000-05-17,7.237311840057373,7.346417043676328,7.200943438851054,7.261557440861585,8849600
2000-05-18,7.516139984130859,7.619184578669392,7.243377579462849,7.249438242758473,13567200
2000-05-19,7.40703010559082,7.510074635847387,7.334293312409896,7.4555213010447705,8583200
2000-05-22,7.400973320007324,7.522201372097251,7.231254047081427,7.455525203530481,7230400
2000-05-23,7.316112518310547,7.437340551092541,7.285804770197856,7.370664393145253,6759200
2000-05-24,7.552505970001221,7.685856797721949,7.419155142280493,7.419155142280493,19460000
2000-05-25,7.425217628479004,7.643428083979596,7.4009720223122715,7.564629124020535,22335200
2000-05-26,7.3585381507873535,7.5221966584729465,7.291863503835451,7.370660948399853,6431200
2000-05-30,7.364603042602539,7.607059085489302,7.358540901613247,7.431277714479276,7100800
2000-05-31,7.231256484985352,7.41915928915589,7.2251943404197885,7.3767301965374275,7738400
2000-06-01,7.370663166046143,7.473707716672738,7.188821147146978,7.2191288902139075,9206400
2000-06-02,7.26155948638916,7.400972470202003,7.231253216763859,7.346419113108232,7372800
2000-06-05,7.26761531829834,7.39490390794474,7.243369731714914,7.2615531817359,5560800
2000-06-06,7.116085052490234,7.334295497029969,7.031225435169226,7.249435879708961,8763200
2000-06-07,7.1403279304504395,7.243372452046127,7.091836739072169,7.116082334761304,7371200
2000-06-08,7.176698684692383,7.285803901182638,7.15851522186111,7.170638023693361,6693600
