Date,Close,High,Low,Open,Volume
2000-01-03,27.024206161499023,27.213296816856452,26.64602485078417,27.181781707630215,4275000
2000-01-04,26.50421905517578,27.323612272101553,26.15755269416873,26.819370292454924,4270800
2000-01-05,25.99996566772461,26.56723764592951,25.842390118223246,26.44117720632842,5098400
2000-01-06,27.197547912597656,27.591486903220446,26.488457729476625,26.504215289101538,6524200
2000-01-07,29.372087478637695,29.4981479399194,27.52845323239273,27.62299857835401,9832000
2000-01-10,29.230276107788086,29.57694245515808,28.83633707668582,29.198760985299906,6862000
2000-01-11,29.687238693237305,29.687238693237305,28.852088135518844,29.08845150091086,4421800
2000-01-12,29.49816131591797,29.844827741639225,29.277555408640804,29.4036159270849,6231600
2000-01-13,28.993919372558594,29.498161448603096,28.883616418423863,29.466646318850312,5285200
2000-01-14,29.49816131591797,29.49816131591797,29.088464630974663,29.119979760585686,4904400
2000-01-18,29.482406616210938,29.750285243937068,29.261800687495306,29.48240661621094,4456800
2000-01-19,29.16826629638672,29.326274239487404,28.710043261394727,28.820648821565207,5553400
2000-01-20,28.457229614257812,28.883851046564843,27.20896690491502,28.820647871408244,10231800
2000-01-21,25.96071434020996,28.473041534423828,25.15487354206589,28.473041534423828,24378800
2000-01-24,26.07132339477539,27.52499718405984,23.96981672113592,24.270031960227275,28554600
2000-01-25,24.649240493774414,26.213519217417787,24.522834132267878,26.19771842222947,17097800
2000-01-26,25.43929672241211,25.48669913866505,24.981073365300336,25.02847578155328,10243200
2000-01-27,26.308326721191406,26.40313150216867,25.581490067032362,25.78690042581644,8989000
2000-01-28,25.360288619995117,26.213531975434208,25.123276576817595,26.213531975434208,9583400
2000-01-31,25.549894332885742,25.56569513333898,24.870459913396513,25.34448392699365,4518200
2000-02-01,25.15487289428711,25.502490484534796,24.965263299606555,25.45508808586466,4044200
2000-02-02,24.93366241455078,25.281280014753644,24.854658414504677,25.21807681471676,3920800
2000-02-03,24.72824478149414,25.233870233895303,24.44383046451849,25.233870233895303,6259600
2000-02-04,23.953998565673828,24.69663572437216,23.764389078346596,24.680834933761556,7647800
2000-02-07,23.574785232543945,23.969805092338582,23.400976494234303,23.76439476524537,6464400
2000-02-08,24.20682716369629,24.23842876573767,23.464189515723884,23.764404735116983,6787800
2000-02-09,23.7643985748291,24.2384224825717,23.701195387130085,24.08041451332417,6255800
2000-02-10,23.11656379699707,23.93820516230387,22.76894629629035,23.70119323000383,5267800
2000-02-11,23.701200485229492,23.74860288619995,23.084969272613524,23.084969272613524,5335000
2000-02-14,23.2271728515625,23.71699758516688,23.00596168154762,23.68539598945047,5252200
2000-02-15,24.20682716369629,24.22262796471698,23.2903807044963,23.38518551062044,6864000
2000-02-16,23.7762508392334,24.33322896987502,23.51158747219093,24.222623383648315,5314600
2000-02-17,23.811811447143555,24.01722189758341,23.51159617342376,23.764409035503586,4682400
2000-02-18,23.673553466796875,23.875013708212965,23.258782381528448,23.717005675729755,4651600
2000-02-22,23.47999382019043,23.622201050595354,22.76895766816582,23.33778658978551,5226800
2000-02-23,22.91117286682129,23.480001986273404,22.78476639583193,23.480001986273404,5357000
2000-02-24,22.373926162719727,22.974356384600625,21.884101508027417,22.847950022099383,7223200
2000-02-25,21.52069664001465,22.500346560485212,21.52069664001465,22.43714333980969,7177200
2000-02-28,22.34232521057129,22.75314590044035,21.48908223930478,21.69449258423931,7081600
2000-02-29,22.215917587280273,22.721543023121644,22.057909638579844,22.626738253901387,6661800
2000-03-01,22.310720443725586,22.42132599833329,21.96310298638709,22.247517269664044,4153600
2000-03-02,22.0737247467041,22.358139238787622,21.915716695546593,22.247533602977363,3565800
2000-03-03,22.358123779296875,22.705741251483822,21.99470551291961,22.200115837393714,4902200
2000-03-06,22.105323791503906,22.358136644015747,21.899913348838037,22.342335840733757,3668600
2000-03-07,15.421582221984863,18.297328087150074,14.473534134567762,14.663143752051182,137287200
2000-03-08,14.663137435913086,15.595384320308423,14.441926310802328,15.42157557914997,74584200
2000-03-09,14.59993839263916,15.042360768173682,14.283922410114505,14.789547982153955,34217200
2000-03-10,13.588689804077148,14.599941138334053,13.335876970512922,14.441933117356411,48561600
2000-03-13,14.473526954650879,14.473526954650879,13.46227616305955,13.588682512008468,35996800
2000-03-14,14.094310760498047,14.663139445899315,13.936302792331029,14.520932274548997,20742000
2000-03-15,14.789546012878418,14.789546012878418,13.809896597495447,14.26811971114232,24737400
2000-03-16,15.137166976928711,15.29517498295093,14.852752566088714,15.089764575122045,27405200
2000-03-17,14.568341255187988,15.137170197906826,14.410333215543869,15.137170197906826,22202400
2000-03-20,14.694742202758789,14.923853774737287,14.520933424016482,14.75794539502872,11856000
2000-03-21,14.410331726074219,14.53673814472399,14.189120493437114,14.457734133067882,14933000
2000-03-22,14.410331726074219,14.584140551717656,13.999510865462453,14.473534935399105,15490200
2000-03-23,14.204916954040527,14.378725726559376,14.04690897902339,14.141713764033671,13621800
2000-03-24,14.26811695098877,14.283917744954426,13.93630027770996,14.268116950988768,14311600
2000-03-27,13.967906951904297,14.410329344046062,13.936305352465599,14.220719747413876,11909400
2000-03-28,14.410331726074219,14.441933330736662,13.952108458468787,13.952108458468787,12057600
2000-03-29,14.836945533752441,14.852746327718098,14.441925684611002,14.457726478576658,15731600
2000-03-30,14.663137435913086,15.200364454039212,14.663137435913086,14.900149355674612,16008000
2000-03-31,14.347122192382812,15.042357188489468,14.22071582945433,15.042357188489468,12033600
2000-04-03,15.0423583984375,15.168764771533613,14.347123346408875,14.347123346408875,10071400
2000-04-04,16.05361557006836,16.180021991879922,15.168770617387427,15.38998185555766,27514000
2000-04-05,15.563791275024414,16.085217784746042,15.563791275024414,15.848205734872575,13620000
2000-04-06,15.863999366760254,15.911401755306349,15.421577073663354,15.674389812575868,7827000
2000-04-07,16.037809371948242,16.116813359002172,15.800797410786444,16.022008574537455,7794800
2000-04-10,16.68564224243164,16.68564224243164,16.11681352962147,16.164215922355652,11747000
2000-04-11,16.79625129699707,16.891056102060084,16.11681686071215,16.590840886027213,10197600
2000-04-12,17.523090362548828,18.392134519393,17.0964686855526,17.175472699811163,20645800
2000-04-13,17.57048988342285,17.665294684952112,16.985860273992415,17.57048988342285,11353400
2000-04-14,15.927210807800293,17.254478375116985,15.67439793783521,17.19127515762571,17381800
2000-04-17,17.44407844543457,17.475680036821228,15.863998876101729,15.895600467488386,15054000
2000-04-18,16.779253005981445,17.41422946789181,16.604634478956093,17.41422946789181,14387600
2000-04-19,16.779253005981445,17.207862117770944,16.652257713599372,16.842750652172484,7923200
2000-04-20,17.509485244750977,17.52535966473715,16.795136345373102,16.795136345373102,8139200
2000-04-24,17.906347274780273,18.033342645523394,17.398365791807784,17.509486741208015,8723200
2000-04-25,16.31890106201172,17.906342799561497,16.112533636130248,17.906342799561497,20658400
2000-04-26,15.429935455322266,16.096661061416437,15.207693586624208,16.064912223031,24605400
2000-04-27,15.461689949035645,15.81092729901386,15.048954899061386,15.239447999049505,15193000
