Date,Close,High,Low,Open,Volume
1990-01-02,0.3764820396900177,0.3764820396900177,0.3653467444934085,0.37011938316322307,53035200
1990-01-03,0.37860366702079773,0.38284545168768347,0.37542173686046887,0.3796641404949114,113774400
1990-01-04,0.3897389769554138,0.39026921370712003,0.3764821843261835,0.3786036774808677,125740800
1990-01-05,0.38019445538520813,0.3902693205236859,0.3796642548982435,0.38814840934622574,69566400
1990-01-08,0.38602665066719055,0.3860266506671905,0.3754215923203736,0.3796639943214599,58982400
1990-01-09,0.3849664628505707,0.3902693049353548,0.38284555175782503,0.38602690019201064,70300800
1990-01-10,0.3743610680103302,0.3870876533041987,0.3738308679598368,0.3817848153730072,103766400
1990-01-11,0.36693766713142395,0.3796642631796686,0.36057500627999245,0.376482295581262,95774400
1990-01-12,0.36534690856933594,0.37011954938252567,0.3563325191065586,0.36110512350988866,148910400
1990-01-15,0.36534690856933594,0.3690590758102691,0.36163536029601695,0.36375623462081075,62467200
1990-01-16,0.3764820396900177,0.37860353202967095,0.3584538514186129,0.3626956345730904,80092800
1990-01-17,0.3711799383163452,0.38390587439892065,0.3690590278572683,0.37330081236556717,97588800
1990-01-18,0.4029949903488159,0.402994990348816,0.37966399999459555,0.38019420012558763,292363200
1990-01-19,0.39928361773490906,0.4072375698207331,0.3966325066955002,0.40405563945176026,99259200
1990-01-22,0.3849664628505707,0.3987534954543245,0.38390598909926493,0.3987534954543245,167688000
1990-01-23,0.3807245194911957,0.38708779628362816,0.37860360927630515,0.3860267404136458,139348800
1990-01-24,0.3849664628505707,0.3849664628505707,0.3695893749974427,0.37330092389741537,180345600
1990-01-25,0.3849664628505707,0.39239017961823464,0.38390598909926493,0.38814839384260913,112752000
1990-01-26,0.3849664628505707,0.3870879565011692,0.3817851144163851,0.38390598909926493,68083200
1990-01-29,0.38814836740493774,0.39132971562243446,0.38284552568134234,0.38814836740493774,55080000
1990-01-30,0.38708797097206116,0.39239019428734484,0.38178512868903564,0.38920888214409494,73108800
